,RU,EN
6128,Друзья пару минут поболтали о новостях.,The friends chatted about the news for a couple of minutes.
6129,"Давай встретимся завтра перед работой, поболтаем.",Let's meet tomorrow before work and chat.
6130,Ничто не может повлиять на решение о сносе кинотеатра.,Nothing can influence the decision about the demolition of the movie theater.
6131,Присутствие посторонних не повлияло на ход урока.,The presence of outsiders did not affect the course of the lesson.
6132,Кризис не повлиял на качество продуктов компании.,The crisis did not affect the quality of the company's products.
6133,В руках ветеринар держал поводящего носом кота.,"The veterinarian was holding a cat, who was smelling the air."
6134,Возле входа в резиденцию стояла поводящая испуганным взглядом лошадь.,"A horse stood near the entrance to the residence, casting a fearful glance."
6135,В этом году государство не станет повышать налоги на транспорт.,This year the state will not increase transport taxes.
6136,Употребление алкоголя на улице повышает риск переохлаждения.,Drinking alcohol outdoors increases the risk of hypothermia.
6137,"Сложно повторять одно и то же, не повышая голос.",It is difficult to repeat one and the same thing without raising your voice.
6138,"Весной температура воды повышается, и лёд тает.",In spring the water temperature rises and the ice melts.
6139,Требования к поступающим в военные вузы повышаются.,The admission requirements to military universities are increasing.
6140,Со следующего года цены на алкоголь будут постоянно повышаться.,"Starting next year, alcohol prices will regularly increase."
6141,"Глаза капитана были прикрыты опущенными веками, и это делало его лицо суровым.","The captain's eyelids were lowered, and this made his face look stern."
6142,На секунду Маргарита прикрыла веки.,For a second Margarita covered her eyelids.
6143,"Ученик должен объяснить, что значит поговорка.",The student must explain what the saying means.
6144,В русском языке много поговорок.,There are many sayings in Russian.
6145,Даша произнесла свою любимую поговорку.,Dasha repeated her favorite saying.
6146,При прохождении границы не стоит шутить с пограничниками.,"When crossing the border, you should not make jokes with the border guards."
6147,В результате неожиданного нападения пострадало шестнадцать пограничников.,Sixteen border guards were hurt during an unexpected attack.
6148,Вам необходимо погасить задолженность.,You need to pay off the debt.
6149,"Надеюсь, в этом году я погашу кредит за квартиру.",This year I hope to pay off the mortgage on the apartment.
6150,Сегодня всё освещение в городе будет погашено на час. ,All the lighting in the city will be put out for an hour today.
6151,Подбородок посетителя был выдвинут вперед.,The visitor stuck out his chin.
6152,При падении Матвей ударился подбородком о стол.,"When falling, Matvey hit his chin on the table."
6153,На подбородке выскочил прыщ. ,A pimple popped up on my chin.
6154,Ахмед купил небольшой подвал и мечтает открыть в нём кафе.,Ahmed bought a small basement and wants to open a café in it.
6155,В подвале жилого дома часто прячутся кошки.,Cats often hide in the basement of the apartment building.
6156,Старые минские здания имели очень глубокие подвалы.,Old buildings in Minsk had very deep basements.
6157,Потомки не забудут подвиг первого космонавта.,Future generations will not forget the achievment of the first astronaut.
6158,В жизни всегда есть место подвигу!,In life there is always a place for a heroic act.
6159,Подвиги советских солдат перечислены в исторических документах.,The achievements of Soviet soldiers are detailed in the historical documents.
6160,Я всегда мечтал погладить тигра.,I always dreamed of petting a tiger.
6161,Мать погладила сына по голове. ,The mother patted her son on the head.
6162,В химчистке мне постирали и погладили всю одежду.,I had all my clothes washed and ironed at the dry-cleaner's.
6163,Марат поглядел на закат и вернулся в дом.,Marat looked at the sunset and returned to the house.
6164,"Погляди скорей, что по телевизору показывают. ","Quick, take a look at what's on TV."
6165,Алия поглядела по сторонам и быстро подняла деньги.,Alia glanced around and quickly picked up the money.
6166,"Если за нами погонятся, нужно сразу разделиться.","If they chase after us, we must split up immediately."
6167,Нам нужно серьёзно поговорить о твоём поступке.,We need to talk seriously about what you did.
6168,В сегодняшнем выпуске мы подробно поговорим о ситуации в Средней Азии.,"In today's episode, we will talk in detail about the situation in Central Asia."
6169,В этот раз друзья поговорили начистоту. ,This time the friends spoke their mind.
6170,Корабль в Средиземном море подаёт сигнал бедствия. ,A ship in the Mediterranean is giving a distress signal.
6171,Старосты школы должны подавать пример ученикам.,School prefects should set an example for students.
6172,Яблоки и чернослив традиционно подают с гусем.,Apples and prunes are traditionally served with goose.
6173,Дети подбегают к Деду Морозу за конфетами.,Children run up to Father Frost for candy.
6174,К месту происшествия уже подбегали прохожие.,Passers-by were already running up to the scene of the accident.
6175,Раньше собака подбегала к хозяйке по первой команде.,The dog used to run to her mistress on the first command.
6176,Музыканты выступили в поддержку политических заключённых.,The musicians spoke out in support of political prisoners.
6177,В перерыве матча выступила группа поддержки.,The cheerleaders performed during half-time.
6178,Мне сейчас нужна твоя моральная поддержка.,I need your moral support now.
6179,"Динар осмотрел себя в зеркале, подвигал плечами и замер.","Dinar examined himself in the mirror, shrugged his shoulders, and froze."
6180,,_
6181,"В школе должна быть комната, где дети могли бы свободно подвигаться.",In school there should be a room where children can move freely.
6182,Интуиция меня никогда не подводит.,Intuition never fails me.
6183,"Подводя итоги, хочу напомнить всем о событиях этого года.","Summing up, I want to remind everyone about this year's events."
6184,Сегодня я подвожу итоги и делаю выводы.,Today I am summarizing and drawing conclusions.
6185,Пётр стал всё чаще подвозить Алину до дома.,Peter started giving Alina a lift home more often.
6186,Раствор и бетон подвозили прямо на стройку в больших автомобилях.,Cement and concrete were transported directly to the construction site in large vehicles.
6187,"Подлежащее обычно отвечает на вопросы ""Кто?"" и ""Что"".","The subject usually answers the questions ""Who?"" and ""What?""."
6188,Первые дипломаты должны только подготовить почву для торговых переговоров.,The first diplomats should only set the stage for the trade negotiations.
6189,Материалы подготовила журналистка Анна Портнягина.,The journalist Anna Portnyagina prepared the content.
6190,В регионах необходимы хорошо подготовленные специалисты.,Well-trained specialists are required in regional areas..
6191,Лекарство подействовало только через несколько дней.,The medicine only took affect after a few days.
6192,"Чтобы музыка на вас подействовала, она должна нравиться.","In order for music to have an effect on you, you have to like it."
6193,Наследство поделили поровну между братьями.,The inheritance was divided equally between the brothers.
6194,Рынок нефти был поделён в середине восьмидесятых.,The oil market was divided in the mid-eighties.
6195,Пространство выставки поделено на зоны.,The exhibition space is divided into zones.
6196,На подоконнике росла целая коллекция кактусов.,A whole collection of cactuses were growing on the windowsill.
6197,Кошка запрыгнула на подоконник.,The cat jumped onto the windowsill.
6198,У нас на всех подоконниках стоят горшки с цветами.,We have flower pots on all the windowsills.
6199,"Вы можете решить, что вас это не касается, но это не так.","You might think that this does not concern you, but that's not the case."
6200,"Когда дело касалось чьей-то репутации, Ренат становился осторожным.","When it was a matter of someone’s reputation, Renat was cautious."
6201,"На саммите обсуждались вопросы, касающиеся российско-украинских отношений.",The summit discussed issues about Russian-Ukrainian relations.
6202,Зульфия хотела поделиться своей радостью с друзьями.,Zulfia wanted to share her joy with her friends.
6203,Главный врач поделился своим мнением с журналистами.,The head physician shared his opinion with the reporters.
6204,"Он жадный, никогда ни с кем не поделится.","He is greedy, he never shares with anyone."
6205,Учреждения начали принимать документы с электронной подписью.,Institutions started accepting documents with a digital signature.
6206,Для подачи документов нужна твоя подпись.,Your signature is required for submitting the documents.
6207,Идёт сбор подписей за кандидата в депутаты.,Signatures are being collected for the candidate for deputy.
6208,,_
6209,Подполковник полиции Александр Трошков стал начальником нового подразделения.,Police lieutenant colonel Alexander Troshkov became the head of the new unit.
6210,Весёлов закончил военную службу в звании подполковника.,Veselov finished his military service at the rank of lieutenant colonel.
6211,Рядовой доложил подполковнику о прибытии комиссии.,The private reported to the lieutenant colonel about the arrival of the commission.
6212,"Отдыхай, я сам здесь подмету.","Relax, I will sweep here myself."
6213,"Вымой посуду и подмети пол, после этого можешь идти гулять.","Wash the dishes and sweep the floor, then you can go for a walk."
6214,Я подмёл пол во всём доме. ,I swept the floor throughout the house.
6215,Из-за аллергии на пыль я не люблю подметать.,"Because of my dust allergy, I do not like sweeping floors."
6216,В новом доме папа подметает полы каждый день.,Dad sweeps the floors in the new house every day.
6217,"Мирон устроился разнорабочим: подметал двор, носил тяжести. ",Miron got a job as a handyman: he swept the yard and carried heavy things.
6218,У современных подростков больше технических навыков.,Teenagers these days have more technical skills.
6219,Тело подростка быстро меняется.,A teenager's body changes quickly.
6220,Подростки не любят говорить о своих чувствах.,Teenagers do not like to talk about their feelings.
6221,Известный актёр любит подогревать интерес к своей персоне.,The famous actor likes to attract interest to himself.
6222,Подогреваемые азартом игроки делали большие ставки.,"Fueled by excitement, the players made big bets."
6223,С нового года водка подорожает.,The price of vodka will go up at the beginning of the year. 
6224,За последние три года всё сильно подорожало.,"Over the past three years, everything has become significantly more expensive."
6225,В прошлом месяце продукты резко подорожали.,Groceries got more expensive last month. 
6226,Тысячи граждан подписываются под требованиями снизить налоги.,Thousands of citizens are signing petitions demanding tax cuts.
6227,Подписываюсь под каждым твоим словом!,I support you 100 percent!
6228,На последней странице договора подписывается директор компании.,The head of the company is signing the last page of the contract.
6229,В молодости я часто подрабатывал грузчиком.,When I was young I often worked part-time loading trucks.
6230,Студенты часто подрабатывают на каникулах.,Students often earn extra money during the holidays.
6231,"Мне часто приходится подрабатывать, чтобы содержать семью.",I often have to work extra to support my family.
6232,Коля любит подраться с соседскими мальчишками.,Kolya loves to fight with the neighboring boys.
6233,"Сейчас мы друзья, но однажды мы чуть не подрались.","We are friends, but we almost got into a fight once."
6234,"Ещё немного, и они подерутся. ",They're going to start fighting any minute now.
6235,"Мы могли бы подружиться, хоть ты и из другого города.","We could become friends, even though you are from another city."
6236,В Приморском зоопарке тигр подружился с козлом.,A tiger made friends with a goat at the Primorsky zoo.
6237,Людмила сразу подружилась с соседями.,Lyudmila immediately made friends with her neighbors.
6238,Дети подсказывают ответы своему однокласснику.,The children are whispering answers to their classmate.
6239,"Интуиция подсказывает мне, что пора уходить.",My intuition tells me it's time to leave.
6240,Я никогда не подсказываю соседу по парте.,I never give answers to my desk mate.
6241,Положи голову на подушку. ,Put your head on the pillow.
6242,Лёня прячет игрушки под подушкой.,Lionya hides his toys under his pillow.
6243,Производители автомобилей начали устанавливать современные подушки безопасности с 1963 года.,Car manufacturers have been installing modern airbags since 1963.
6244,Нужно выбрать подходящее место для палатки. ,You need to choose a suitable place for the tent.
6245,"Я пытался выбрать подходящий момент, чтобы рассказать ей правду.",I tried to choose the right moment to tell her the truth.
6246,Завод должен быть построен в подходящем месте. ,The factory should be built in a suitable location.
6247,"Девушке, подслушивающей у чужих дверей, удалось сбежать. ",The girl who wa eavesdropping at the door managed to escape.
6248,Артём очень любит подслушивать чужие разговоры. ,Artyom loves to eavesdrop on other people's conversations.
6249,Полицейские установили в дом подозреваемого одно из подсматривающих устройств.,Police officers installed a hidden camera in the suspect’s house.
6250,Алла любит подсматривать в замочную скважину.,Alla loves to peep through the keyhole.
6251,В Австралии долго не могли потушить лесной пожар. ,It took a long time for the firefighters to put out the forest fire in Australia.
6252,"Жители пытались восстановить деревню, уничтоженную пожаром.",The villagers tried to rebuild their village destroyed by fire.
6253,Сотни добровольцев тушат пожары. ,Hundreds of volunteers are putting out the fires.
6254,Дом сгорел до приезда пожарных.,The house burned down before the firefighters arrived.
6255,На каждом этаже установили пожарный шланг.,A fire hose was installed on each floor.
6256,В маленьком городке нет пожарной охраны.,There is no fire department in that small town.
6257,Все пожелания и предложения принимаются по электронной почте.,All suggestions and proposals are accepted by email.
6258,Мое пожелание на Новый год -- чтобы все были счастливы.,My wish for the New Year is for everyone to be happy.
6259,"С наилучшими пожеланиями, ваш Алексей. ","Best regards, yours truly Alexey."
6260,Доля государства в компании составляет менее тридцати процентов.,The state’s share in the company is less than thirty percent.
6261,Микроорганизмы составляют основу всей жизни в Мировом океане.,Microorganisms form the basis of all life in the oceans.
6262,Галина умеет правильно составлять все документы.,Galina knows how to draw up all the documents correctly.
6263,Пожилая женщина не смогла поднять тяжёлую сумку.,The elderly woman could not lift the heavy bag.
6264,Пожилые люди чаще болеют.,Older people get sick more often.
6265,Жителям пожилого возраста бывает сложно осваивать новые технологии.,Elderly people find it difficult to learn new technologies.
6266,"Клиент подтверждает, что ознакомился с договором.",The client confirms that he has read the contract.
6267,Новые открытия подтверждают нашу теорию. ,New discoveries confirm our theory.
6268,Для получения кредита вам не хватает подтверждающих документов.,You do not have enough supporting documents to get a loan.
6269,В армии солдаты вынуждены подчиняться приказам.,Soldiers are obliged to obey orders in the army.
6270,Молодёжь не подчиняется старым авторитетам.,Young people do not obey the old leaders.
6271,Руководители предприятий подчиняются напрямую президенту.,Company managers report directly to the president.
6272,Я переехал в новый дом и не пожалел об этом. ,I moved to a new house and did not regret it.
6273,Марина пожалела нищего и дала ему денег.,Marina felt sorry for the beggar and gave him money.
6274,"Они ещё пожалеют, что отказали нам.",They will be sorry they refused us.
6275,"Уже поздно, пойдём спать. ","It is late, let's go to sleep."
6276,Поздняя осень в этом году была сухая и тёплая. ,Late autumn was dry and warm this year.
6277,Более поздние исследования подтвердили предположения автора. ,Later studies confirmed the author's assumptions.
6278,Жители страны демонстрируют свою гражданскую позицию.,Residents of the country are demonstrating their social activism.
6279,Россия стремится к укреплению своих позиций на международной арене.,Russia seeks to strengthen its position on the global stage.
6280,Позиция редакции может не совпадать с мнением автора.,The editor's position may not coincide with the opinion of the author.
6281,"Если тебя обижают, ты должен пожаловаться учителю.","If you are being bullied, you should complain to the teacher."
6282,Пенсионер пожаловался президенту на действия местных властей. ,A pensioner complained to the president about the actions of the local authorities.
6283,"Мама пожаловалась, что у неё болит голова.",Mom complained that she had a headache.
6284,Стыд и позор!,What a shame and disgrace!
6285,"К моему глубокому позору, я не читал эту книгу. ","To my deep shame, I did not read this book."
6286,Мы никогда не забудем этого позора.,We will never forget this disgrace.
6287,В октябре похолодало и пожелтели листья.,It got colder in October and the leaves turned yellow.
6288,В ящике была только стопка пожелтевших фотографий.,There was only a stack of discolored photographs in the drawer.
6289,"Книги были старые, с пожелтевшими страницами.","The books were old, with yellowed pages."
6290,Ради свободы мы готовы пожертвовать всем.,We are ready to sacrifice everything for freedom.
6291,Не пожертвуете ли вы сто рублей на добрые дела?,Will you donate a hundred rubles to a good cause?
6292,Новое приложение позволяет контролировать расходы. ,This new app allows you to monitor your expenses.
6293,Проведённые исследования позволяют сделать важные выводы.,The studies that we have conducted allow us to draw important conclusions.
6294,Семён никогда не позволял себе лишнего.,Semyon would never take liberties.
6295,Каждое утро Аркадий пожимает руки всем мужчинам в кабинете.,Every morning Arkady shakes hands with all the men in the office.
6296,"Константин Петрович отошёл в сторону, пожимая плечами. ",Konstantin Petrovich stepped aside and shrugged his shoulders.
6297,На все вопросы Марина только презрительно пожимала плечами.,Marina just contemptuously shrugged off all questions.
6298,В зале собрались поклонники творчества Маяковского. ,Admirers of Mayakovsky's works gathered in the hall.
6299,Толпы поклонников артиста собрались у здания театра.,Crowds of the artist's admirers gathered at the theater.
6300,Я являюсь давним поклонником вашего творчества.,I am a longtime admirer of your work.
6301,Поклонница прислала художнику букет цветов. ,An admirer sent flowers to the artist. 
6302,Певец всегда окружён восторженными поклонницами.,The singer is always surrounded by enthusiastic fans.
6303,"Проблема нашего поколения в том, что мы перестали видеть прекрасное в простоте. ",The problem of our generation is that we do not see beauty in simplicity any more.
6304,Новое поколение не похоже на своих родителей.,The new generation is not like their parents.
6305,Через несколько поколений все забудут твоё имя. ,Everyone will forget your name in a few generations.
6306,Я сама могу о себе позаботиться.,I can take care of myself.
6307,Никто не позаботился о бедной женщине. ,No one took care of the poor woman.
6308,"Когда я умру, позаботьтесь о моих детях.","When I die, take care of my children."
6309,Любой позавидует твоей силе воли.,Everyone will envy your willpower.
6310,Нашим потомкам можно только позавидовать.,Our descendants can only be envied.
6311,Жителям крайнего севера не позавидуешь.,You would not envy the inhabitants of the far north.
6312,После покупки автомобиля Руслан совсем перестал ходить пешком.,"After buying a car, Ruslan stopped walking completely."
6313,Молодой человек взял кредит на покупку квартиры.,The young man took a loan to buy an apartment.
6314,При покупке квартиры вы получаете ковёр в подарок. ,When you buy an apartment you get a carpet as a gift.
6315,Почти с самого рождения ребёнок начинает познавать окружающий мир.,A child begins to learn about the world almost from the moment of birth.
6316,"Всегда приятно встретить человека, познающего мир.",It is always nice to meet a person who is interested in the world.
6317,Семинар закончился в полдень.,The seminar ended at noon.
6318,Давай встретимся в музее около полудня.,Let's meet at the museum around noon.
6319,К полудню все проснулись.,Everyone woke up by noon.
6320,Опытные бортпроводники сопровождают пассажиров в течение всего полёта.,Experienced flight attendants accompany passengers throughout the flight.
6321,Военные заправили самолёт прямо в полёте. ,The military refueled the plane right during the flight.
6322,Полёт прошёл без происшествий.,The flight went without incident.
6323,"Посетитель вежливо поинтересовался, открыт ли магазин.",The visitor inquired politely if the shop was open.
6324,"Мы поинтересовались у автора, как ему удается так много писать.",We asked the author how he manages to write so much.
6325,"Бабушка поинтересовалась, как дела у её внука.",Grandma asked how her grandson was doing.
6326,Сегодня мы хотим покататься на лыжах.,We want to go skiing today. 
6327,Вчера мы немного покатались на велосипеде.,Yesterday we took a little bike ride.
6328,Пусть Вова покатается на коньках или сходит в кино.,Let Vova skate for a while or go to the movies.
6329,Дядя удивился и отрицательно покачал головой.,My uncle was surprised and shook his head in disagreement.
6330,Ирина улыбнулась и неуверенно покачала головой.,Irina smiled and shook her head uncertainly.
6331,На открытии выставки присутствовало много известных политиков.,There were many famous politicians at the opening of the exhibition.
6332,Работу комиссии возглавил известный политик Михаил Касьянов.,The work of the commission was led by the well-known politician Mikhail Kasyanov.
6333,"Многие политики убеждены, что нужны обществу.",Many politicians are convinced that society needs them.
6334,Полиэтиленовые пакеты можно приобрести на кассе.,Plastic bags can be purchased at the cashier's desk.
6335,Остатки еды завернули в полиэтиленовую плёнку и убрали в холодильник.,The remaining food was wrapped in plastic wrap and put in the refrigerator.
6336,Полковник Новиков рано вышел в отставку.,Colonel Novikov took an early retirement.
6337,Полковника Стрельникова назначили командиром в дальнем гарнизоне.,Colonel Strelnikov was appointed commander in a distant garrison.
6338,Никто давно не пишет полковнику Семёнову.,Nobody has been writing to Colonel Semenov for a long time.
6339,В полночь просыпаются тёмные силы.,Dark forces awaken at midnight.
6340,К полуночи все в доме уснули.,By midnight everyone in the house was asleep.
6341,К полночи придёшь к подземелью.,Come to the dungeon by midnight.
6342,Моё положение в обществе не позволяет мне выходить на улицу без охраны.,My social status does not allow me to go outside without a security guard.
6343,Социологи отметили ухудшение материального положения граждан.,Sociologists noted a deterioration in the financial situation of citizens.
6344,Храните прибор строго в вертикальном положении.,Be sure to store the instrument upright.
6345,Даже в самых плохих людях всегда есть что-то положительное.,Even the worst people always have something good in them.
6346,Каждому нужны положительные эмоции.,Everyone needs positive emotions.
6347,Вениамину важно получить положительную оценку судей.,It’s important for Benjamin to get a positive assessment from the judges.
6348,Нарисуйте квадрат и полукруг.,Draw a square and a semicircle.
6349,По коридору больницы шёл полуодетый пациент.,A half-dressed patient was walking along the corridor of the hospital.
6350,"Многие мечтают уехать на полуостров, к морю.","Many people dream of going to the peninsula, to the sea."
6351,Сейчас на полуострове наконец-то наступил мир.,Now peace has finally arrived on the peninsula.
6352,Большая часть полуострова занята лесами.,Most of the peninsula is covered with forests.
6353,Дверь открыл полусонный хозяин дома.,The door was opened by the owner of the house who was half asleep.
6354,В полусонной тишине вдруг раздался крик.,A scream suddenly ripped through the drowsy silence.
6355,Василиса поклонилась зрителям и села за рояль.,Vasilisa bowed to the audience and sat down at the piano.
6356,Калмыков слегка поклонился и поприветствовал гостей.,Kalmykov bowed slightly and greeted the guests.
6357,Не забудь поклониться после выступления.,Don't forget to bow after the performance.
6358,Часто случайные знакомства приносят пользу.,Acquaintances that you make by chance often turn out to be useful.
6359,"Не могу понять, есть ли польза от нового прибора.",I can’t understand whether the new device is of any use.
6360,Никакой от тебя пользы нет.,You are just useless.
6361,Весной Григорий покрасил двери и окна белой краской.,In the spring Grigory painted the doors and windows white.
6362,В этом году стены в школе покрасили в зелёный цвет.,This year the school walls were painted green.
6363,На следующей неделе я покрашу волосы в новый цвет.,Next week I will dye my hair a new color.
6364,Данила всегда мечтал проехать от полюса до экватора. ,Danila always dreamed of traveling from the pole to the equator.
6365,Учительница попросила показать на глобусе северный и южный полюсы.,The teacher asked the student to show where the north and south poles are on a globe.
6366,"Наша планета - шар, немного сплющенный у полюсов.",Our planet is a sphere slightly flattened at the poles.
6367,В финальном матче поляки сыграют с канадцами.,In the final match the Poles will play with the Canadians.
6368,Дмитрий Иванович встретил делегацию поляков в аэропорту.,Dmitry Ivanovich met a delegation of Poles at the airport.
6369,Сотрудники таможни проверили документы и пожелали поляку счастливого пути. ,The customs officers checked his documents and wished the Pole a pleasant journey.
6370,Ольга взглянула на меня и слегка покраснела.,Olga looked at me and blushed slightly.
6371,Петя смутился и покраснел.,Petya got embarrassed and blushed.
6372,Спортсмен тёр покрасневшую от мороза щёку.,The athlete rubbed his cheek that had turned red from the frosty weather.
6373,Бабушка уговаривала внучку покушать.,The grandmother persuaded her granddaughter to eat.
6374,В детском саду Миша хорошо покушал.,Misha had a good meal at his kindergarten.
6375,"Покушайте наших деревенских яблок, они очень вкусные.","Try some of our village apples, they are very tasty."
6376,Перенесите оборудование из тёплого помещения в холодное.,Move the equipment from a warm room to a cold one.
6377,Для проведения праздника организаторы арендовали большое помещение.,The organizers rented a large room for the celebration.
6378,В одном из помещений архива нашли ценные документы.,Valuable documents were found a room belonging to the archive.
6379,В моём детстве никаких мобильных телефонов и в помине не было.,In my childhood there were no mobile phones at all.
6380,На похоронах часто пьют на помин души умершего.,At funerals people often drink to honor the memory of the deceased's soul.
6381,"Некоторые змеи ползают не только по земле, но и по деревьям.","Some snakes crawl not only on the ground, but also in trees."
6382,Ребёнок ползает по полу в гостиной.,The baby is crawling on the floor in the living room.
6383,По дну клетки ползали три змеи.,Three snakes were slithering in the bottom of the cage.
6384,Пешеходы еле ползли по скользким дорожкам.,Pedestrians barely crawled along the slippery paths.
6385,"Маша, по твоей руке ползёт жук.","Masha, a bug is crawling on your arm."
6386,"Туман, ползущий с севера, уже накрыл город.",A fog creeping from the north has already covered the city.
6387,"Не забывай поливать цветы, пока нас нет дома.",Do not forget to water the flowers while we are away.
6388,Мама Антона постоянно поливает грязью его друзей.,Anton’s mother keeps slinging dirt at his friends.
6389,Летом дедушка каждый день поливал огород.,Grandfather used to water the garden every day in summer.
6390,Я всегда мечтал полюбоваться на Париж.,I have always dreamed of seeing Paris.
6391,Только полюбуйся на этих хулиганов!,Just look at those thugs!
6392,Художник немного полюбовался своей картиной и отдал её заказчику.,The artist admired his painting for a little while and then gave it to the customer.
6393,Слава помахал друзьям рукой на прощанье. ,Slava waved goodbye to his friends.
6394,,
6395,"Увидев приятеля, сёстры помахали ему рукой.",The sisters saw a friend and waved at him.
6396,"Многое поменялось с тех пор, как мы уехали отсюда.",A lot has changed since we left this place.
6397,Близнецы незаметно поменялись местами.,The twins switched places without being noticed.
6398,В поезде я бы хотела поменяться местами с соседом., I would have liked to swap places with the person next to me on the train.
6399,"Мы недавно поссорились, но сейчас уже помирились. ","We had an argument recently, but now we have made up again."
6400,В конце концов Эльдар Рязанов помирился с Войновичем.,"In the end, Eldar Ryazanov made peace with Voinovich."
6401,"Виталий хотел помириться с женой, но она оказалось слишком гордой.","Vitali wanted to make peace with his wife, but she was too arrogant."
6402,Для понимания ситуации я должен знать все подробности.,In order to understand the situation I need to know all the details.
6403,"В конце фильма к Евгении пришло чёткое понимание, что она потратила время зря.","At the end of the film, it was clear to Eugenia that she had wasted her time."
6404,"В моем понимании, хороший человек должен быть честным.","In my view, a good person should be honest."
6405,Мы все должны помолиться о наших солдатах.,We should all pray for our soldiers.
6406,Я помолился деве Марии и попросил у неё удачи.,I prayed to the Virgin Mary and asked her for success.
6407,"Помолившись, паломники отправились в путь.",The piligrims prayed and then set off.
6408,Теперь Ларисе всё стало понятно.,Now everything became clear to Larisa.
6409,Мне понятен ход ваших мыслей.,I understand your train of thought.
6410,"История, рассказанная в фильме, понятна всем зрителям.",The story told in the film is clear to all viewers.
6411,Ты так помолодела после отпуска!,You look so much younger after your vacation!
6412,От радостной новости Сергей как будто помолодел.,Sergey seemed to look younger after hearing the good news.
6413,"Люди готовы на многое, чтобы помолодеть.",People are willing to do a lot in order to look younger.
6414,После ужина нужно помыть посуду и убраться. ,You should wash the dishes and clean up after dinner.
6415,"Я помою полы завтра, сейчас я устал.","I will wash the floors tomorrow, I'm tired now."
6416,Врачи помыли руки и начали операцию.,The doctors washed their hands and started the operation.
6417,Совет Госдумы рассмотрел поправки к новому закону.,The State Duma Council has considered amendments to the new law.
6418,После долгой болезни моя дочь наконец-то пошла на поправку.,"After a long illness, my daughter is finally on the mend."
6419,Вторая поправка ограничивает возможности региональных властей.,The second amendment limits the powers of regional authorities.
6420,Мечтаю уже приехать домой и поскорее помыться.,My wish is to come home and have a wash as soon as possible.
6421,"Константин встал рано, помылся, оделся и пошёл на работу.","Konstantin got up early, washed, got dressed and went to work."
6422,"Помывшись и переодевшись, мы сели за стол.","After washing and changing our clothes, we sat down at the table."
6423,Правительство Франции не собирается понижать цены на бензин.,The French government is not going to lower gas prices.
6424,"Не понижая голос, подруги обсудили все последние новости.","Without lowering their voices, the friends discussed all the latest news."
6425,"Пациентка пользуется новым средством, понижающим давление. ",The patient is using a new remedy that lowers blood pressure.
6426,Попытка возродить рождественские традиции не увенчалась успехом. ,An attempt to revive Christmas traditions was unsuccessful.
6427,В нашей клинике участились попытки самоубийства.,Cases of attempted suicide have become more frequent at our hospital.
6428,Бизнесмен предпринял попытку спасти свой бизнес.,The businessman made an attempt to save his business.
6429,В сентябре температура воздуха начинает понижаться.,The air temperature begins to drop in September.
